country,confirmed,deaths,incident_rate,case_fatality_ratio,last_update,lat,long
Afghanistan,209451,7896,538.0424508714615,3.76985547932452,2023-03-10 04:21:03,33.93911,67.709953
Albania,334457,3598,11621.96817012996,1.075773567304616,2023-03-10 04:21:03,41.1533,20.1683
Algeria,271496,6881,619.132365905185,2.534475646050034,2023-03-10 04:21:03,28.0339,1.6596
Andorra,47890,165,61981.49226687375,0.34453956984756734,2023-03-10 04:21:03,42.5063,1.5218
Angola,105288,1933,320.35277020195906,1.835916723653218,2023-03-10 04:21:03,-11.2027,17.8739
Antarctica,11,0,,0.0,2023-03-10 04:21:03,-71.9499,23.347
Antigua and Barbuda,9106,146,9298.668409443671,1.6033384581594552,2023-03-10 04:21:03,17.0608,-61.7964
Argentina,10044957,130472,22225.43269916568,1.2988806223859395,2023-03-10 04:21:03,-38.4161,-63.6167
Armenia,447308,8727,15095.264160710898,1.9510046768669462,2023-03-10 04:21:03,40.0691,45.0382
Australia,232974,228,54420.46250875964,0.09786499781091453,2023-03-10 04:21:03,-35.4735,149.0124
Australia,3915992,6529,48238.38383838384,0.1667265918827209,2023-03-10 04:21:03,-33.8688,151.2093
Australia,105111,91,42797.63843648208,0.08657514437118856,2023-03-10 04:21:03,-12.4634,130.8456
Australia,1800236,2783,35191.78965887988,0.15459084253397887,2023-03-10 04:21:03,-27.4698,153.0251
Australia,883620,1365,50305.72160546541,0.15447816934881511,2023-03-10 04:21:03,-34.9285,138.6007
Australia,287507,256,53689.44911297853,0.08904131029853186,2023-03-10 04:21:03,-42.8821,147.3272
Australia,2880559,7370,43448.00072399282,0.25585311739839384,2023-03-10 04:21:03,-37.8136,144.9631
Australia,1293461,952,49169.80916901087,0.07360098217108982,2023-03-10 04:21:03,-31.9505,115.8605
Austria,5961143,21970,66187.85530289572,0.36855348043152125,2023-03-10 04:21:03,47.5162,14.5501
Azerbaijan,828825,10138,8174.481651613667,1.2231773896781588,2023-03-10 04:21:03,40.1431,47.5769
Bahamas,37491,833,9533.678492961184,2.2218665813128484,2023-03-10 04:21:03,25.025885,-78.035889
Bahrain,710693,1553,41766.57853304834,0.21851910740643288,2023-03-10 04:21:03,26.0275,50.55
Bangladesh,2037871,29445,1237.402777809909,1.4448902801011447,2023-03-10 04:21:03,23.685,90.3563
Barbados,106798,579,37163.80567280624,0.5421449839884642,2023-03-10 04:21:03,13.1939,-59.5432
Belarus,994037,7118,10519.665910386577,0.7160699249625517,2023-03-10 04:21:03,53.7098,27.9534
Belgium,766206,0,41238.52386401189,0.0,2023-03-10 04:21:03,51.2195,4.4024
Belgium,505467,0,41824.5290606367,0.0,2023-03-10 04:21:03,50.8503,4.3517
Belgium,645338,0,42594.7682738155,0.0,2023-03-10 04:21:03,51.0362,3.7373
Belgium,464722,0,40545.46644273344,0.0,2023-03-10 04:21:03,50.9167,4.5833
Belgium,519111,0,38617.40565865793,0.0,2023-03-10 04:21:03,50.5257,4.0621
Belgium,419029,0,37852.93841328573,0.0,2023-03-10 04:21:03,50.4496,5.8492
Belgium,351474,0,40212.20802518855,0.0,2023-03-10 04:21:03,50.9739,5.342
Belgium,122942,0,43192.4057926208,0.0,2023-03-10 04:21:03,50.0547,5.4677
Belgium,202905,0,41046.88211197087,0.0,2023-03-10 04:21:03,50.331,4.8221
Belgium,63364,33814,,53.36468657281737,2023-03-10 04:21:03,,
Belgium,173827,0,43069.23456202815,0.0,2023-03-10 04:21:03,50.4,4.35
Belgium,504980,0,42229.611070784646,0.0,2023-03-10 04:21:03,51.0536,3.1458
Belize,70757,688,17795.086275624275,0.9723419590994531,2023-03-10 04:21:03,17.1899,-88.4976
Benin,27999,163,230.95391166588223,0.5821636487017393,2023-03-10 04:21:03,9.3077,2.3158
Bhutan,62627,21,8116.384918845223,0.03353186325386814,2023-03-10 04:21:03,27.5142,90.4336
Bolivia,1194277,22365,10231.080553299404,1.8726811284149323,2023-03-10 04:21:03,-16.2902,-63.5887
Bosnia and Herzegovina,401729,16280,12244.79283348802,4.052483141620346,2023-03-10 04:21:03,43.9159,17.6791
Botswana,329758,2801,14022.558868867272,0.8494107800265649,2023-03-10 04:21:03,-22.3285,24.6849
Brazil,160433,2043,18191.02314796442,1.2734287833550455,2023-03-10 04:21:03,-9.0238,-70.812
Brazil,337535,7242,10113.841581826577,2.1455552757491816,2023-03-10 04:21:03,-9.5713,-36.782
Brazil,185668,2167,21953.552607152866,1.1671370403085077,2023-03-10 04:21:03,0.902,-52.003
Brazil,631976,14443,15248.189389704234,2.2853715963897363,2023-03-10 04:21:03,-3.4168,-65.8561
Brazil,1792572,31459,12052.4728462138,1.7549643752105912,2023-03-10 04:21:03,-12.5797,-41.7007
Brazil,1453572,28157,15917.209642756008,1.9370901475812687,2023-03-10 04:21:03,-5.4984,-39.3206
Brazil,897897,11844,29778.34806060357,1.3190822555371051,2023-03-10 04:21:03,-15.7998,-47.8645
Brazil,1323318,15041,32929.41659512523,1.1366126660409668,2023-03-10 04:21:03,-19.1834,-40.3089
Brazil,1898605,28036,27051.9982320641,1.4766631289815417,2023-03-10 04:21:03,-15.827,-49.8362
Brazil,493391,11053,6973.545977127652,2.2402111104580342,2023-03-10 04:21:03,-4.9609,-45.2744
Brazil,878360,15087,25207.87977268253,1.7176328612414045,2023-03-10 04:21:03,-12.6819,-56.9211
Brazil,607356,11010,21855.30981444311,1.8127753739157924,2023-03-10 04:21:03,-20.7722,-54.7852
Brazil,4189760,65507,19792.1553479365,1.5635024440540748,2023-03-10 04:21:03,-18.5122,-44.555
Brazil,871612,19021,10131.648003310524,2.182278353212209,2023-03-10 04:21:03,-1.9981,-54.9306
Brazil,707743,10542,17613.75387089557,1.4895237395495258,2023-03-10 04:21:03,-7.24,-36.782
Brazil,2918459,46018,25524.488154013525,1.5767910393807143,2023-03-10 04:21:03,-25.2521,-52.0215
